Date,Time,Site,Plot,Random_Subplot,AGB_Live,AGB_Dead,Rhizome,Root,BGB_Dead
09/04/25,10:00 AM,NI,1,5,264,90,460,300,3778
09/04/25,11:00 AM,NI,2,4,670,324,1272,550,2355
09/04/25,12:00 PM,NI,3,12,687,186,947,160,3704
09/04/25,1:00 PM,NI,4,1,450,174,1061,318,1963
09/04/25,2:00 PM,NI,5,3,1314,307,1390,456,1704
09/04/25,3:00 PM,NI,6,12,971,284,987,311,1366
09/04/25,4:00 PM,NI,7,3,411,124,1136,228,2134
09/04/25,5:00 PM,NI,8,4,694,170,1070,318,1662
09/04/25,6:00 PM,NI,9,9,832,342,678,112,1794
09/04/25,7:00 PM,NI,10,2,784,192,621,250,1542
09/04/25,8:00 PM,NI,11,1,647,236,605,217,2302
09/04/25,9:00 PM,NI,12,8,1357,275,930,99,1978
09/04/25,10:00 PM,NI,13,12,937,261,673,327,1991
09/04/25,11:00 PM,NI,14,3,979,219,822,243,1816
09/04/25,12:00 AM,NI,15,8,1600,346,684,206,1579
09/04/25,1:00 AM,NI,16,4,1071,204,577,287,1338
09/04/25,2:00 AM,NI,17,2,1839,296,1283,493,3030
09/04/25,3:00 AM,NI,18,1,935,232,857,401,2680
09/04/25,4:00 AM,NI,19,12,597,123,686,186,5611
09/04/25,5:00 AM,NI,20,1,882,171,903,226,2868
09/04/25,6:00 AM,NI,21,8,793,312,1228,193,2463
